date,region,state,rainfall_mm,temperature_c,humidity_pct,soil_saturation_pct,drought_prone_base,crop_stress_index
2019-01-01,Kochi,Kerala,2.41,24.7,52.02,12.42,0,20.02
2019-01-02,Kochi,Kerala,5.75,25.27,48.24,26.01,0,20.52
2019-01-03,Kochi,Kerala,2.24,25.43,43.26,27.51,0,15.95
2019-01-04,Kochi,Kerala,1.64,23.0,40.4,23.17,0,14.64
2019-01-05,Kochi,Kerala,0.21,24.75,48.85,23.51,0,9.94
2019-01-06,Kochi,Kerala,0.09,23.75,46.81,36.39,0,24.81
2019-01-07,Kochi,Kerala,0.09,22.37,52.25,13.25,0,20.04
2019-01-08,Kochi,Kerala,0.62,23.4,34.29,19.17,0,20.72
2019-01-09,Kochi,Kerala,1.0,24.65,42.03,35.37,0,15.58
2019-01-10,Kochi,Kerala,0.69,23.75,48.35,35.02,0,25.79
2019-01-11,Kochi,Kerala,0.07,24.36,37.26,26.27,0,24.68
2019-01-12,Kochi,Kerala,0.28,23.27,51.22,12.95,0,19.25
2019-01-13,Kochi,Kerala,2.25,24.16,44.67,47.82,0,16.1
2019-01-14,Kochi,Kerala,0.78,24.37,56.21,18.74,0,17.83
2019-01-15,Kochi,Kerala,1.14,21.66,36.38,34.05,0,15.44
2019-01-16,Kochi,Kerala,1.06,24.29,38.0,26.69,0,19.6
2019-01-17,Kochi,Kerala,0.09,21.41,40.61,29.54,0,16.87
2019-01-18,Kochi,Kerala,0.21,22.87,61.53,21.96,0,22.82
2019-01-19,Kochi,Kerala,0.85,23.0,48.07,26.13,0,17.78
2019-01-20,Kochi,Kerala,4.43,24.45,54.95,35.74,0,16.02
2019-01-21,Kochi,Kerala,0.27,22.0,57.71,47.45,0,27.55
2019-01-22,Kochi,Kerala,0.35,23.5,44.46,28.65,0,16.2
2019-01-23,Kochi,Kerala,0.07,22.86,34.75,21.28,0,12.13
2019-01-24,Kochi,Kerala,0.08,23.44,41.88,40.09,0,21.79
2019-01-25,Kochi,Kerala,0.01,24.47,35.82,30.91,0,9.61
