region,state,month,avg_temp_c,avg_humidity,pop_density_per_km2,energy_demand_mwh,carbon_emissions_tco2
Agra,Uttar Pradesh,2019-01,23.081612903225807,46.48225806451613,3406.263980076708,5.9,4.42
Agra,Uttar Pradesh,2019-02,24.270357142857144,44.08678571428572,3505.3675906929743,6.31,4.73
Agra,Uttar Pradesh,2019-03,26.339032258064517,43.5158064516129,3602.4735607970892,16.53,12.4
Agra,Uttar Pradesh,2019-04,28.334333333333333,43.63666666666666,3538.142513686734,28.95,21.72
Agra,Uttar Pradesh,2019-05,29.41,48.07741935483871,3509.318792841952,33.65,25.24
Agra,Uttar Pradesh,2019-06,30.507333333333335,62.82733333333333,3635.143709753089,42.04,31.53
Agra,Uttar Pradesh,2019-07,29.896129032258063,76.28612903225806,3523.8534744228778,38.23,28.67
Agra,Uttar Pradesh,2019-08,28.621290322580645,72.86774193548388,3529.5472119416013,30.38,22.79
Agra,Uttar Pradesh,2019-09,26.71066666666667,62.95399999999999,3537.416859905247,16.26,12.19
Agra,Uttar Pradesh,2019-10,24.983870967741936,46.425483870967746,3430.1622206066754,10.74,8.05
Agra,Uttar Pradesh,2019-11,23.224666666666668,40.465333333333334,3402.9190633981557,6.77,5.08
Agra,Uttar Pradesh,2019-12,22.68903225806452,42.03193548387097,3504.869244545374,5.81,4.36
Agra,Uttar Pradesh,2020-01,23.175161290322578,45.40483870967742,3491.433595302764,5.63,4.22
Agra,Uttar Pradesh,2020-02,24.22241379310345,43.230000000000004,3586.1687872263656,7.14,5.36
Agra,Uttar Pradesh,2020-03,26.059032258064516,46.457741935483874,3541.1228283194964,12.77,9.58
Agra,Uttar Pradesh,2020-04,27.853,46.571333333333335,3538.871252490432,21.48,16.11
Agra,Uttar Pradesh,2020-05,29.253870967741936,48.01774193548387,3533.0321418359845,33.12,24.84
Agra,Uttar Pradesh,2020-06,31.02,66.59233333333333,3571.2807680801675,46.48,34.86
Agra,Uttar Pradesh,2020-07,30.00258064516129,73.22709677419354,3567.5308551169505,37.48,28.11
Agra,Uttar Pradesh,2020-08,28.664193548387097,72.42354838709677,3385.374494122355,30.46,22.84
Agra,Uttar Pradesh,2020-09,26.989666666666665,61.673,3470.287501352936,18.6,13.95
Agra,Uttar Pradesh,2020-10,24.461290322580645,47.414838709677426,3558.0311131457656,6.22,4.67
Agra,Uttar Pradesh,2020-11,22.803333333333335,42.905,3484.2127962144355,3.92,2.94
Agra,Uttar Pradesh,2020-12,22.351333333333333,46.508,3488.3435882648564,5.34,4.0
Ahmedabad,Gujarat,2019-01,23.78258064516129,44.965806451612906,8748.889946118876,20.4,15.3
Ahmedabad,Gujarat,2019-02,25.011428571428574,41.712857142857146,8970.598352966828,20.53,15.4
Ahmedabad,Gujarat,2019-03,26.943225806451615,41.67967741935484,8700.6730209054,25.98,19.48
Ahmedabad,Gujarat,2019-04,28.797,47.091,8825.858149066797,40.68,30.51
Ahmedabad,Gujarat,2019-05,30.924838709677417,47.776774193548384,8941.046094814366,54.23,40.67
Ahmedabad,Gujarat,2019-06,31.717,66.02033333333333,8896.074364186381,59.58,44.68
Ahmedabad,Gujarat,2019-07,31.19193548387097,77.16612903225807,9075.317975855452,55.87,41.9
Ahmedabad,Gujarat,2019-08,29.45258064516129,71.39774193548386,8941.130600951436,43.4,32.55
Ahmedabad,Gujarat,2019-09,28.066,59.21933333333333,9018.075858215883,35.87,26.91
Ahmedabad,Gujarat,2019-10,25.73483870967742,50.06645161290322,9163.627975409963,20.84,15.63
Ahmedabad,Gujarat,2019-11,24.096,44.272000000000006,8963.19400663127,15.78,11.83
Ahmedabad,Gujarat,2019-12,23.68,44.59290322580645,9059.991903124264,17.46,13.1
Ahmedabad,Gujarat,2020-01,24.171935483870968,44.67935483870968,8974.500146008373,19.78,14.84
Ahmedabad,Gujarat,2020-02,25.26137931034483,43.96137931034483,9176.836891028086,23.33,17.49
Ahmedabad,Gujarat,2020-03,27.528387096774193,42.43967741935484,9155.934476539407,37.47,28.1
Ahmedabad,Gujarat,2020-04,29.204666666666665,46.63,9123.652244063233,46.28,34.71
Ahmedabad,Gujarat,2020-05,31.134193548387096,47.68935483870968,8879.122720721092,52.63,39.47
Ahmedabad,Gujarat,2020-06,31.526666666666664,63.117,9142.165454337079,60.71,45.53
Ahmedabad,Gujarat,2020-07,31.30258064516129,76.56225806451613,9110.434480008134,59.96,44.97
Ahmedabad,Gujarat,2020-08,29.498387096774195,75.18741935483871,9224.8198615235,46.41,34.81
Ahmedabad,Gujarat,2020-09,27.827333333333335,60.29666666666667,8840.20894966077,31.15,23.36
Ahmedabad,Gujarat,2020-10,25.44483870967742,45.751290322580644,9157.116167973025,22.43,16.82
Ahmedabad,Gujarat,2020-11,23.958666666666666,42.517,8660.510213283846,15.68,11.76
Ahmedabad,Gujarat,2020-12,23.568666666666665,43.309999999999995,8728.856132939669,18.2,13.65
Amritsar,Punjab,2019-01,21.023548387096774,44.43387096774194,798.1514858137303,3.9,2.93
Amritsar,Punjab,2019-02,21.856785714285714,45.30821428571429,814.2652572629594,2.92,2.19
Amritsar,Punjab,2019-03,24.368709677419353,44.87612903225807,800.6217592008662,1.0,0.75
Amritsar,Punjab,2019-04,26.500999999999998,46.135,797.9110041532913,13.05,9.79
Amritsar,Punjab,2019-05,28.142258064516128,50.04290322580645,787.2235475011436,20.62,15.47
Amritsar,Punjab,2019-06,28.205666666666666,66.03699999999999,782.40725579882,22.96,17.22
Amritsar,Punjab,2019-07,28.633225806451613,75.28677419354838,799.3516498991224,23.01,17.26
Amritsar,Punjab,2019-08,27.020967741935483,73.8225806451613,773.9332416010927,14.56,10.92
Amritsar,Punjab,2019-09,24.736333333333334,61.59466666666666,765.1974668796179,3.4,2.55
Amritsar,Punjab,2019-10,22.700967741935486,49.04387096774194,799.6758246725196,1.13,0.85
Amritsar,Punjab,2019-11,21.678,41.35066666666667,806.7361696699908,4.6,3.45
Amritsar,Punjab,2019-12,20.554516129032255,45.35645161290322,795.2140626174818,3.34,2.51
Amritsar,Punjab,2020-01,21.38290322580645,46.93096774193548,814.4918773952706,2.43,1.83
Amritsar,Punjab,2020-02,22.407241379310342,41.65379310344828,789.4458926286203,1.0,0.75
Amritsar,Punjab,2020-03,24.286774193548386,45.700967741935486,804.222006131906,1.0,0.75
Amritsar,Punjab,2020-04,25.993666666666666,44.91,821.1438680368631,8.98,6.73
Amritsar,Punjab,2020-05,27.683870967741935,48.1058064516129,804.4565779754781,19.06,14.29
Amritsar,Punjab,2020-06,28.813333333333333,65.758,813.0632604796215,21.27,15.95
Amritsar,Punjab,2020-07,28.36709677419355,77.29741935483871,785.5421319487098,23.54,17.66
Amritsar,Punjab,2020-08,26.783548387096772,73.8158064516129,807.9762200441882,10.64,7.98
Amritsar,Punjab,2020-09,24.346333333333334,60.81466666666667,809.3692160819268,1.0,0.75
Amritsar,Punjab,2020-10,22.01322580645161,47.49290322580645,792.3145344630251,3.58,2.69
Amritsar,Punjab,2020-11,21.770666666666667,42.45066666666666,765.6629333159507,1.0,0.75
Amritsar,Punjab,2020-12,20.218999999999998,44.379,808.17476908523,2.18,1.63
Bengaluru,Karnataka,2019-01,19.04290322580645,46.57741935483871,9003.417349714979,19.88,14.91
Bengaluru,Karnataka,2019-02,20.65285714285714,41.70428571428572,8989.359334999328,19.06,14.29
Bengaluru,Karnataka,2019-03,23.11806451612903,43.96612903225807,9022.356915658773,15.71,11.79
Bengaluru,Karnataka,2019-04,25.054333333333332,47.23800000000001,8970.275219734014,19.82,14.87
Bengaluru,Karnataka,2019-05,27.254193548387097,48.88709677419355,9063.469673414616,30.64,22.98
Bengaluru,Karnataka,2019-06,27.042666666666666,63.976,8623.490148116769,30.6,22.95
Bengaluru,Karnataka,2019-07,27.24967741935484,75.02548387096775,8875.089651117361,32.13,24.1
Bengaluru,Karnataka,2019-08,26.13225806451613,73.8874193548387,9235.6078374278,28.55,21.41
Bengaluru,Karnataka,2019-09,23.927,59.735,9092.56310193434,19.04,14.28
