date,region,state,rainfall_mm,temperature_c,humidity_pct,soil_saturation_pct,drainage_index,elevation_m,pop_density_per_km2,flood_prone_base,flood_event
2019-01-01,Kochi,Kerala,2.41,24.7,52.02,12.42,40.47,288.4,3494.119594873499,1,0
2019-01-02,Kochi,Kerala,5.75,25.27,48.24,26.01,65.53,5.0,3482.5259311548116,1,1
2019-01-03,Kochi,Kerala,2.24,25.43,43.26,27.51,54.72,409.7,3644.4564140585953,1,1
2019-01-04,Kochi,Kerala,1.64,23.0,40.4,23.17,69.24,588.7,3205.945233063115,1,1
2019-01-05,Kochi,Kerala,0.21,24.75,48.85,23.51,63.48,285.0,3805.000072281867,1,0
2019-01-06,Kochi,Kerala,0.09,23.75,46.81,36.39,38.14,154.1,3276.39275311483,1,1
2019-01-07,Kochi,Kerala,0.09,22.37,52.25,13.25,54.98,298.8,3748.929302927499,1,0
2019-01-08,Kochi,Kerala,0.62,23.4,34.29,19.17,46.21,399.1,3741.669873923719,1,1
2019-01-09,Kochi,Kerala,1.0,24.65,42.03,35.37,50.07,141.1,3081.456124043836,1,0
2019-01-10,Kochi,Kerala,0.69,23.75,48.35,35.02,69.98,220.5,3472.0986261827607,1,1
2019-01-11,Kochi,Kerala,0.07,24.36,37.26,26.27,79.49,143.1,3173.233811996543,1,0
2019-01-12,Kochi,Kerala,0.28,23.27,51.22,12.95,66.52,321.3,2993.879750964041,1,0
2019-01-13,Kochi,Kerala,2.25,24.16,44.67,47.82,56.41,5.0,3576.998839390118,1,1
2019-01-14,Kochi,Kerala,0.78,24.37,56.21,18.74,50.4,5.0,3018.159848355292,1,0
2019-01-15,Kochi,Kerala,1.14,21.66,36.38,34.05,72.57,849.0,3645.043301646599,1,1
2019-01-16,Kochi,Kerala,1.06,24.29,38.0,26.69,50.82,207.8,3554.9669986058702,1,1
2019-01-17,Kochi,Kerala,0.09,21.41,40.61,29.54,86.52,289.1,3325.2465405112966,1,0
2019-01-18,Kochi,Kerala,0.21,22.87,61.53,21.96,72.58,5.0,3634.732838137052,1,1
2019-01-19,Kochi,Kerala,0.85,23.0,48.07,26.13,41.62,5.0,4052.681939743652,1,1
2019-01-20,Kochi,Kerala,4.43,24.45,54.95,35.74,53.84,581.9,4037.5145971985976,1,0
2019-01-21,Kochi,Kerala,0.27,22.0,57.71,47.45,57.31,135.0,3112.5340112847794,1,0
2019-01-22,Kochi,Kerala,0.35,23.5,44.46,28.65,65.06,672.2,3725.3785776469,1,1
2019-01-23,Kochi,Kerala,0.07,22.86,34.75,21.28,54.99,524.8,3510.721022408046,1,0
2019-01-24,Kochi,Kerala,0.08,23.44,41.88,40.09,68.07,651.2,3256.420085915254,1,1
2019-01-25,Kochi,Kerala,0.01,24.47,35.82,30.91,63.42,1005.2,3201.364827304413,1,0
2019-01-26,Kochi,Kerala,2.77,23.35,47.02,44.27,49.06,53.8,3443.0669278092823,1,0
2019-01-27,Kochi,Kerala,1.21,27.6,40.26,22.2,58.59,5.0,4245.236489209905,1,1
2019-01-28,Kochi,Kerala,0.22,27.08,67.74,18.46,54.48,352.5,3154.600022550117,1,1
2019-01-29,Kochi,Kerala,0.1,25.02,41.49,28.74,39.38,178.5,3581.25946136919,1,0
2019-01-30,Kochi,Kerala,0.02,25.93,45.74,33.53,60.8,250.0,3610.7729915856576,1,0
2019-01-31,Kochi,Kerala,0.14,27.59,57.09,33.97,48.55,5.0,3591.9622288014984,1,1
2019-02-01,Kochi,Kerala,3.77,25.89,46.64,21.91,52.93,329.1,3397.740084968756,1,0
2019-02-02,Kochi,Kerala,0.06,24.77,54.77,5.0,56.45,303.0,3369.8298965375484,1,0
2019-02-03,Kochi,Kerala,0.49,27.18,30.73,39.03,55.07,231.6,3382.940339675443,1,1
2019-02-04,Kochi,Kerala,4.7,27.24,52.42,38.15,86.16,381.7,3396.2001662628522,1,1
2019-02-05,Kochi,Kerala,0.9,26.17,33.57,38.54,57.14,601.4,4137.22615517638,1,1
2019-02-06,Kochi,Kerala,0.03,24.63,33.62,24.84,82.67,441.3,3145.1989217458604,1,1
2019-02-07,Kochi,Kerala,0.17,23.78,45.5,41.69,69.13,5.0,3525.211750631402,1,1
2019-02-08,Kochi,Kerala,1.8,21.74,38.27,37.35,36.28,692.8,3796.304395045191,1,1
2019-02-09,Kochi,Kerala,1.61,26.49,44.86,33.63,64.06,5.0,3446.617113641674,1,1
2019-02-10,Kochi,Kerala,0.07,23.35,42.0,44.87,48.85,5.0,3795.534816669862,1,0
2019-02-11,Kochi,Kerala,0.32,26.28,49.73,35.8,94.91,188.5,4061.4890265309996,1,0
2019-02-12,Kochi,Kerala,0.45,23.17,30.19,22.42,66.59,407.3,3005.5319406376716,1,0
2019-02-13,Kochi,Kerala,0.2,26.16,44.11,37.76,63.44,409.0,3437.1360051589895,1,0
2019-02-14,Kochi,Kerala,1.63,24.57,47.17,28.64,58.24,498.9,3046.2346851738334,1,0
2019-02-15,Kochi,Kerala,0.15,24.2,49.0,27.27,62.97,576.8,3475.801722845851,1,0
2019-02-16,Kochi,Kerala,0.05,27.3,43.74,21.67,51.08,5.0,3374.6941591739496,1,1
2019-02-17,Kochi,Kerala,1.22,23.26,46.14,20.57,67.12,210.7,3824.9039470489697,1,1
2019-02-18,Kochi,Kerala,0.03,23.78,37.77,34.3,57.16,348.6,3962.2315794348588,1,1
2019-02-19,Kochi,Kerala,0.22,27.05,40.35,41.32,65.75,210.7,4182.854396044205,1,0
2019-02-20,Kochi,Kerala,0.19,24.24,45.66,29.9,64.71,5.0,2774.455797403048,1,0
2019-02-21,Kochi,Kerala,0.39,27.22,35.3,33.79,53.89,164.7,3716.709890941388,1,0
2019-02-22,Kochi,Kerala,1.71,23.91,43.05,57.34,63.35,680.0,3703.2719833654287,1,1
2019-02-23,Kochi,Kerala,0.54,24.52,46.44,21.92,69.98,575.6,3399.812943255508,1,1
2019-02-24,Kochi,Kerala,0.26,27.15,28.35,26.86,30.14,5.0,3813.3147436900904,1,0
2019-02-25,Kochi,Kerala,0.79,21.36,38.65,54.84,66.52,82.1,2953.664576451945,1,0
2019-02-26,Kochi,Kerala,0.34,25.74,49.33,33.72,70.02,43.5,4070.1279316683967,1,1
2019-02-27,Kochi,Kerala,0.66,27.94,41.47,44.57,53.36,686.5,3590.380088162943,1,1
2019-02-28,Kochi,Kerala,0.47,24.59,39.41,34.9,36.51,441.2,3901.734431256747,1,1
2019-03-01,Kochi,Kerala,0.65,23.53,37.14,33.0,57.31,174.0,3571.1858842169804,1,0
2019-03-02,Kochi,Kerala,0.39,27.12,46.83,35.87,64.45,860.5,3392.5208735828983,1,0
2019-03-03,Kochi,Kerala,0.94,24.33,36.64,30.04,65.01,265.3,3815.064597406987,1,0
2019-03-04,Kochi,Kerala,4.82,26.54,32.16,33.18,63.93,5.0,2990.8121301597735,1,1
2019-03-05,Kochi,Kerala,1.07,25.95,46.66,6.75,42.65,161.9,3750.038768920731,1,0
2019-03-06,Kochi,Kerala,1.67,25.13,45.63,47.45,41.66,324.7,2921.8842981372563,1,1
2019-03-07,Kochi,Kerala,0.01,25.68,50.25,32.42,33.38,404.6,3946.0565259294335,1,0
2019-03-08,Kochi,Kerala,0.83,27.34,49.85,35.14,34.72,411.4,3582.346639055892,1,0
2019-03-09,Kochi,Kerala,1.55,25.38,33.49,38.37,63.62,65.8,3345.77165245059,1,0
2019-03-10,Kochi,Kerala,0.0,25.73,47.52,24.67,53.83,658.8,2655.5268841746783,1,0
2019-03-11,Kochi,Kerala,0.35,26.12,28.26,27.18,55.71,193.0,3702.846399866767,1,0
2019-03-12,Kochi,Kerala,0.34,27.84,60.17,31.99,54.94,207.4,2894.264938072474,1,1
2019-03-13,Kochi,Kerala,0.43,29.63,42.36,47.02,43.44,426.2,3195.833463247326,1,0
2019-03-14,Kochi,Kerala,1.13,26.44,30.21,30.73,46.46,147.3,2903.021724394569,1,0
2019-03-15,Kochi,Kerala,0.32,26.21,23.23,38.1,64.09,35.8,3792.532763710018,1,0
2019-03-16,Kochi,Kerala,0.09,27.64,47.11,33.95,57.5,495.0,3938.103752997818,1,1
2019-03-17,Kochi,Kerala,1.32,26.38,40.27,26.27,71.86,699.5,3351.329195272418,1,0
2019-03-18,Kochi,Kerala,0.7,28.63,25.74,22.29,48.26,5.0,3179.695359453926,1,1
2019-03-19,Kochi,Kerala,0.71,26.9,35.5,30.0,75.74,5.0,3695.492135745978,1,1
2019-03-20,Kochi,Kerala,0.0,25.79,43.65,27.89,41.76,5.0,3377.1666662237076,1,1
2019-03-21,Kochi,Kerala,2.78,29.1,25.5,17.25,46.16,688.4,3768.5610341614297,1,0
2019-03-22,Kochi,Kerala,0.01,28.15,44.22,35.5,57.18,333.4,3772.2185861797234,1,1
2019-03-23,Kochi,Kerala,0.01,24.18,51.76,41.88,44.69,5.0,3825.7933792226854,1,0
2019-03-24,Kochi,Kerala,1.06,27.06,36.6,30.96,55.51,5.0,4124.8089407252455,1,1
2019-03-25,Kochi,Kerala,0.38,28.97,48.87,34.73,78.74,440.6,3722.917199180273,1,1
2019-03-26,Kochi,Kerala,0.01,27.88,39.3,17.21,85.23,768.7,3589.3246958995564,1,1
2019-03-27,Kochi,Kerala,0.08,28.42,44.23,17.04,59.23,226.1,3812.974664979693,1,1
2019-03-28,Kochi,Kerala,0.07,27.96,42.13,19.23,57.73,26.2,3678.9276350916375,1,1
2019-03-29,Kochi,Kerala,1.26,27.77,51.72,41.6,75.39,261.7,3120.705410424679,1,1
2019-03-30,Kochi,Kerala,0.44,29.96,52.55,29.03,41.34,154.3,3429.2708641137087,1,1
