region,state,population_est,waste_generated_tpd,organic_pct,recyclable_pct,collection_efficiency_pct
Kochi,Kerala,41727,19.12,57.61,26.82,82.36
Mumbai,Maharashtra,318900,133.83,46.85,22.26,62.32
Guwahati,Assam,30846,14.4,49.04,21.61,60.64
Kolkata,West Bengal,77605,30.06,57.1,22.14,82.36
Patna,Bihar,48248,18.21,51.02,23.63,44.53
Chennai,Tamil Nadu,158768,60.78,51.63,28.66,69.03
Bhubaneswar,Odisha,13778,6.51,54.25,16.24,53.75
Lucknow,Uttar Pradesh,51701,27.07,58.5,21.54,81.97
Ahmedabad,Gujarat,334783,127.71,59.06,20.31,95.74
Jaipur,Rajasthan,29291,16.11,45.75,21.88,39.33
Bikaner,Rajasthan,3269,1.68,47.13,19.17,39.47
Nagpur,Maharashtra,28199,13.32,37.68,24.21,40.86
Pune,Maharashtra,109583,57.06,62.65,5.88,96.31
Bengaluru,Karnataka,290426,100.48,57.66,27.79,46.87
Hyderabad,Telangana,162825,69.44,50.75,17.66,58.21
Indore,Madhya Pradesh,7440,3.51,63.33,28.35,45.61
Bhopal,Madhya Pradesh,7737,2.79,60.14,13.69,42.05
Chandigarh,Punjab,8391,3.31,58.97,11.58,39.86
Amritsar,Punjab,11082,6.3,46.1,29.28,54.02
Dehradun,Uttarakhand,5353,2.29,51.15,21.95,34.4
Shimla,Himachal Pradesh,2465,1.1,65.37,22.05,31.86
Srinagar,Jammu & Kashmir,2764,1.04,39.04,7.52,80.97
Ranchi,Jharkhand,9372,5.16,49.28,17.68,25.13
Raipur,Chhattisgarh,27809,11.68,68.11,15.94,69.01
Thiruvananthapuram,Kerala,41424,13.8,58.64,13.99,53.14
Visakhapatnam,Andhra Pradesh,29617,15.23,65.65,18.02,64.68
Surat,Gujarat,239192,107.49,47.58,20.25,98.0
Varanasi,Uttar Pradesh,107318,46.85,47.95,28.12,96.67
Agra,Uttar Pradesh,66530,40.33,54.36,29.9,57.71
Jodhpur,Rajasthan,4082,2.32,50.01,25.56,33.87
