date,region,state,rainfall_mm,temperature_c,humidity_pct,water_storage_pct,pop_density_per_km2,drought_prone_base,water_stress_event
2019-01-01,Kochi,Kerala,2.41,24.7,52.02,48.68,3494.119594873499,0,1
2019-01-02,Kochi,Kerala,5.75,25.27,48.24,72.57,3482.5259311548116,0,1
2019-01-03,Kochi,Kerala,2.24,25.43,43.26,62.31,3644.4564140585953,0,1
2019-01-04,Kochi,Kerala,1.64,23.0,40.4,52.72,3205.945233063115,0,1
2019-01-05,Kochi,Kerala,0.21,24.75,48.85,59.37,3805.000072281867,0,0
2019-01-06,Kochi,Kerala,0.09,23.75,46.81,45.59,3276.39275311483,0,0
2019-01-07,Kochi,Kerala,0.09,22.37,52.25,66.72,3748.929302927499,0,1
2019-01-08,Kochi,Kerala,0.62,23.4,34.29,57.85,3741.669873923719,0,1
2019-01-09,Kochi,Kerala,1.0,24.65,42.03,47.37,3081.456124043836,0,1
2019-01-10,Kochi,Kerala,0.69,23.75,48.35,46.53,3472.0986261827607,0,0
2019-01-11,Kochi,Kerala,0.07,24.36,37.26,69.75,3173.233811996543,0,1
2019-01-12,Kochi,Kerala,0.28,23.27,51.22,43.12,2993.879750964041,0,0
2019-01-13,Kochi,Kerala,2.25,24.16,44.67,58.59,3576.998839390118,0,1
2019-01-14,Kochi,Kerala,0.78,24.37,56.21,47.2,3018.159848355292,0,0
2019-01-15,Kochi,Kerala,1.14,21.66,36.38,100.0,3645.043301646599,0,1
2019-01-16,Kochi,Kerala,1.06,24.29,38.0,76.32,3554.9669986058702,0,1
2019-01-17,Kochi,Kerala,0.09,21.41,40.61,74.65,3325.2465405112966,0,1
2019-01-18,Kochi,Kerala,0.21,22.87,61.53,73.63,3634.732838137052,0,1
2019-01-19,Kochi,Kerala,0.85,23.0,48.07,58.45,4052.681939743652,0,1
2019-01-20,Kochi,Kerala,4.43,24.45,54.95,63.58,4037.5145971985976,0,0
2019-01-21,Kochi,Kerala,0.27,22.0,57.71,84.23,3112.5340112847794,0,1
2019-01-22,Kochi,Kerala,0.35,23.5,44.46,56.81,3725.3785776469,0,0
2019-01-23,Kochi,Kerala,0.07,22.86,34.75,28.47,3510.721022408046,0,1
2019-01-24,Kochi,Kerala,0.08,23.44,41.88,51.91,3256.420085915254,0,1
2019-01-25,Kochi,Kerala,0.01,24.47,35.82,92.54,3201.364827304413,0,0
2019-01-26,Kochi,Kerala,2.77,23.35,47.02,12.05,3443.0669278092823,0,1
2019-01-27,Kochi,Kerala,1.21,27.6,40.26,25.66,4245.236489209905,0,1
2019-01-28,Kochi,Kerala,0.22,27.08,67.74,89.57,3154.600022550117,0,1
2019-01-29,Kochi,Kerala,0.1,25.02,41.49,49.67,3581.25946136919,0,1
2019-01-30,Kochi,Kerala,0.02,25.93,45.74,40.57,3610.7729915856576,0,1
2019-01-31,Kochi,Kerala,0.14,27.59,57.09,78.82,3591.9622288014984,0,0
2019-02-01,Kochi,Kerala,3.77,25.89,46.64,56.05,3397.740084968756,0,0
2019-02-02,Kochi,Kerala,0.06,24.77,54.77,60.92,3369.8298965375484,0,1
